file_id,rel_path,status,sha256,acq_sha256,ingested_at,source_name,schema_version,supersedes_file_id,row_count,start_date,end_date,partition,meta_json
,datasets/acquisition/youtube/Bryan-Sutton-Flatpicking-_Whiskey-Before-Breakfast__-DnWtCpcmvM.json,active,dbc2944d2c834a6ea6f4f218246d3c0e7f813e7be9363fd83a9ac1da8126ae3f,,,Bryan-Sutton-Flatpicking-_Whiskey-Before-Breakfast__-DnWtCpcmvM.json,1,,,,,,"{""asset_role"":""info_json"",""bundle_id"":""-DnWtCpcmvM"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=-DnWtCpcmvM"",""youtube_id"":""-DnWtCpcmvM""}}"
,datasets/acquisition/youtube/Bryan-Sutton-Flatpicking-_Whiskey-Before-Breakfast__-DnWtCpcmvM.mp3,active,95c646f313ae0187499e1561f8d61252b85e4b3fdcb32522694b94aa22aed16f,,,Bryan-Sutton-Flatpicking-_Whiskey-Before-Breakfast__-DnWtCpcmvM.mp3,1,,,,,,"{""asset_role"":""audio"",""bundle_id"":""-DnWtCpcmvM"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=-DnWtCpcmvM"",""youtube_id"":""-DnWtCpcmvM""}}"
,datasets/acquisition/youtube/Bryan-Sutton-Flatpicking-_Whiskey-Before-Breakfast__-DnWtCpcmvM.jpg,active,3736e453841d379f6600e391684f86620c735d8d40509c7620334b9df2b471d2,,,Bryan-Sutton-Flatpicking-_Whiskey-Before-Breakfast__-DnWtCpcmvM.jpg,1,,,,,,"{""asset_role"":""thumb"",""bundle_id"":""-DnWtCpcmvM"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=-DnWtCpcmvM"",""youtube_id"":""-DnWtCpcmvM""}}"
,datasets/acquisition/youtube/Doc-Watson-(ft.-Bryan-Sutton)---_Whiskey-Before-Breakfast__IK3xkLtqo7g.json,active,5557b8bf4c8bf023100008f29d16f4d303494e611024daec02a4bc36a32a3901,,,Doc-Watson-(ft.-Bryan-Sutton)---_Whiskey-Before-Breakfast__IK3xkLtqo7g.json,1,,,,,,"{""asset_role"":""info_json"",""bundle_id"":""IK3xkLtqo7g"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=IK3xkLtqo7g"",""youtube_id"":""IK3xkLtqo7g""}}"
,datasets/acquisition/youtube/Doc-Watson-(ft.-Bryan-Sutton)---_Whiskey-Before-Breakfast__IK3xkLtqo7g.mp3,active,a9cbe2faddbacda8baae71b4e7b316352ec6ee742a8f21ab217efff48cce480a,,,Doc-Watson-(ft.-Bryan-Sutton)---_Whiskey-Before-Breakfast__IK3xkLtqo7g.mp3,1,,,,,,"{""asset_role"":""audio"",""bundle_id"":""IK3xkLtqo7g"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=IK3xkLtqo7g"",""youtube_id"":""IK3xkLtqo7g""}}"
,datasets/acquisition/youtube/Doc-Watson-(ft.-Bryan-Sutton)---_Whiskey-Before-Breakfast__IK3xkLtqo7g.jpg,active,d1de5f57bcc7ac2f2deb3fbbaf7f2e693d216b192ed6e6c77c8dffad16f0d61a,,,Doc-Watson-(ft.-Bryan-Sutton)---_Whiskey-Before-Breakfast__IK3xkLtqo7g.jpg,1,,,,,,"{""asset_role"":""thumb"",""bundle_id"":""IK3xkLtqo7g"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=IK3xkLtqo7g"",""youtube_id"":""IK3xkLtqo7g""}}"
,datasets/acquisition/youtube/I'll-Fly-Away---Gloria-Spencer-[1976-Gospel]_g_XrwCmVOm8.json,active,5061e8e284d2ef8e23eb44fca5774796a75fced4d47ad956f5b322c106b9083b,,,I'll-Fly-Away---Gloria-Spencer-[1976-Gospel]_g_XrwCmVOm8.json,1,,,,,,"{""asset_role"":""info_json"",""bundle_id"":""g_XrwCmVOm8"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=g_XrwCmVOm8"",""youtube_id"":""g_XrwCmVOm8""}}"
,datasets/acquisition/youtube/I'll-Fly-Away---Gloria-Spencer-[1976-Gospel]_g_XrwCmVOm8.mp3,active,2e5e1dfe6b8c72753c2754e1de3baf31f94316ef86867fdafbc30978d472af4d,,,I'll-Fly-Away---Gloria-Spencer-[1976-Gospel]_g_XrwCmVOm8.mp3,1,,,,,,"{""asset_role"":""audio"",""bundle_id"":""g_XrwCmVOm8"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=g_XrwCmVOm8"",""youtube_id"":""g_XrwCmVOm8""}}"
,datasets/acquisition/youtube/I'll-Fly-Away---Gloria-Spencer-[1976-Gospel]_g_XrwCmVOm8.jpg,active,ccc6338667cf9a6ed763be87c5e80069ee73fc940789c6446114426d34e78cd7,,,I'll-Fly-Away---Gloria-Spencer-[1976-Gospel]_g_XrwCmVOm8.jpg,1,,,,,,"{""asset_role"":""thumb"",""bundle_id"":""g_XrwCmVOm8"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=g_XrwCmVOm8"",""youtube_id"":""g_XrwCmVOm8""}}"
,datasets/acquisition/youtube/I'll-Fly-Away_FFkiVy79ZRw.json,active,6dfd79371bfd9bf005388a3f65183df086c05918535caba838c8702945cd016d,,,I'll-Fly-Away_FFkiVy79ZRw.json,1,,,,,,"{""asset_role"":""info_json"",""bundle_id"":""FFkiVy79ZRw"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=FFkiVy79ZRw"",""youtube_id"":""FFkiVy79ZRw""}}"
